Resolution,Yes,No,Total,Notes,Amended,Amended_during_debate,Success,Consent
CCB,100,0,164,CC,0,0,1,0
30,58,42,169,Resolution,1,0,1,0
31,63,37,173,Resolution,0,0,1,0
32,98,2,173,Resolution,1,0,1,0
33,57,43,NA,Amendment,NA,NA,1,0
33,73,27,163,Resolution,1,1,1,0
34,75,25,150,Amendment,NA,NA,1,0
34,91,9,155,Resolution,1,1,1,0
35,18,82,142,Resolution,0,0,0,0
37,86,14,154,Amendment,NA,NA,1,0
37,96,4,160,Resolution,1,1,1,0
40,90,10,NA,Amendment,NA,NA,1,0
40,95,5,NA,Resolution,1,1,1,0
41,95,5,NA,Resolution,1,0,1,0
42,84,16,163,Resolution,0,0,1,0
43,95,5,NA,Resolution,0,0,1,0
44,89,11,161,Resolution,0,0,1,0
45,89,11,152,Resolution,0,0,1,0
50,97,3,158,Resolution,0,0,1,0
51,80,20,158,Resolution,0,0,1,0
52,86,14,161,Resolution,1,0,1,0
53,91,9,163,Resolution,0,0,1,0
55,25,75,168,Amendment,NA,NA,0,0
55,90,10,167,Resolution,0,1,1,0
56,91,9,137,Resolution,1,0,1,0
57,51,49,155,Amendment,NA,NA,1,0
57,77,23,NA,Amendment,NA,NA,1,0
57,80,20,159,Resolution,1,1,1,0
58,91,9,162,Resolution,1,0,1,0
CCC,99,1,168,CC,NA,NA,1,0
61,93,7,NA,Resolution,0,0,1,0
64,88,12,167,Amendment,NA,NA,1,0
64,66,34,170,Resolution,1,1,1,0
66,90,10,164,Resolution,0,0,1,0
71,86,14,151,Amendment,NA,NA,1,0
71,91,9,126,Amendment,NA,NA,1,0
71,22,78,159,Amendment,NA,NA,0,0
71,95,5,166,Resolution,1,1,1,0
72,78,22,160,Resolution,0,0,1,0
73,39,61,173,Resolution,0,0,0,0
74,81,19,NA,Close,NA,NA,1,0
74,47,53,NA,Resolution,0,1,0,0
75,42,58,158,Resolution,0,0,0,0
76,81,19,166,Resolution,1,0,1,0
78,85,15,NA,Resolution,1,0,1,0
CCA,98,2,131,CC,NA,NA,1,0
2,NA,NA,NA,Withdrawn,NA,NA,0,0
3,98,2,NA,Resolution,1,0,1,0
5,38,62,161,Amendment,NA,NA,0,0
5,37,63,168,Resolution,1,1,0,0
6,97,3,174,Resolution,1,0,1,0
8,99,1,134,Resolution,1,0,1,0
9,98,2,NA,Amendment,NA,NA,1,0
9,90,10,143,Resolution,1,1,1,0
10,92,8,NA,Amendment,NA,NA,1,0
10,80,20,133,Resolution,1,1,1,0
11,57,43,NA,Resolution,1,0,1,0
16,94,6,NA,Amendment,NA,NA,1,0
16,92,8,139,Resolution,1,1,1,0
18,NA,NA,NA,Tabled,NA,NA,NA,0
19,23,77,NA,Amendment,NA,NA,0,0
19,59,41,143,Resolution,0,1,1,0
20,NA,NA,NA,Resolution,1,0,0,0
21,83,17,142,Amendment,1,0,1,0
21,86,14,145,Resolution,1,1,1,0
25,93,7,149,Resolution,0,0,1,0
26,93,7,143,Resolution,1,0,1,0
27,96,4,141,Resolution,1,0,1,0
LR2,NA,NA,NA,Resolution,1,0,1,0
LR4,98,2,147,Resolution,1,0,1,0
1,NA,NA,NA,Resolution,NA,NA,1,1
4,NA,NA,NA,Resolution,NA,NA,1,1
7,NA,NA,NA,Resolution,NA,NA,1,1
10,NA,NA,NA,Resolution,NA,NA,1,1
12,NA,NA,NA,Resolution,NA,NA,1,1
13,NA,NA,NA,Resolution,NA,NA,1,1
14,NA,NA,NA,Resolution,NA,NA,1,1
15,NA,NA,NA,Resolution,NA,NA,1,1
16,NA,NA,NA,Resolution,NA,NA,1,1
17,NA,NA,NA,Resolution,NA,NA,1,1
22,NA,NA,NA,Resolution,NA,NA,1,1
23,NA,NA,NA,Resolution,NA,NA,1,1
24,NA,NA,NA,Resolution,NA,NA,1,1
28,NA,NA,NA,Resolution,NA,NA,1,1
29,NA,NA,NA,Resolution,NA,NA,1,1
36,NA,NA,NA,Resolution,NA,NA,1,1
38,NA,NA,NA,Resolution,NA,NA,1,1
39,NA,NA,NA,Resolution,NA,NA,1,1
46,NA,NA,NA,Resolution,NA,NA,1,1
47,NA,NA,NA,Resolution,NA,NA,1,1
48,NA,NA,NA,Resolution,NA,NA,1,1
49,NA,NA,NA,Resolution,NA,NA,1,1
54,NA,NA,NA,Resolution,NA,NA,1,1
59,NA,NA,NA,Resolution,NA,NA,1,1
60,NA,NA,NA,Resolution,NA,NA,1,1
62,NA,NA,NA,Resolution,NA,NA,1,1
63,NA,NA,NA,Resolution,NA,NA,1,1
65,NA,NA,NA,Resolution,NA,NA,1,1
67,NA,NA,NA,Resolution,NA,NA,1,1
68,NA,NA,NA,Resolution,NA,NA,1,1
69,NA,NA,NA,Resolution,NA,NA,1,1
70,NA,NA,NA,Resolution,NA,NA,1,1
77,NA,NA,NA,Resolution,NA,NA,1,1
LR1,NA,NA,NA,Resolution,NA,NA,1,1
LR5,NA,NA,NA,Resolution,NA,NA,1,1