minutes,temperature,dmin,dtemp,dtemp/dmin,projected_finish
0,43,,,,
7,43,,,,
21,43,,,,
56,48,0,0,,
67,54,11,6,0.545,189.17
80,59,24,11,0.458,216.00
92,64,36,16,0.444,221.25
102,70,46,22,0.478,209.00
113,73,57,25,0.439,223.56
120,77,64,29,0.453,217.93
130,82,74,34,0.459,215.59
140,88,84,40,0.476,209.70
150,91,94,43,0.457,216.33
160,97,104,49,0.471,211.43
171,102,115,54,0.470,211.98
180,106,124,58,0.468,212.62
190,111,134,63,0.470,211.78
200,115,144,67,0.465,213.49
210,118,154,70,0.455,217.40
220,122,164,74,0.451,218.65
226,126,170,78,0.459,215.82