Timestamp,"HAAP Community Engagement (e.g. doing educational sessions, releasing how-to videos, booths at community events, outreach to community organizations, etc)","Medical Home advocacy with payers, government",Strengthening Early Intervention services,Strengthening Child Welfare Services,Strengthening regulations on daycares to reduce deaths of children in unsafe childcare conditions,Tobacco/Vaping prevention and control,Support for children and teenagers who come into contact with the criminal legal system,Food insecurity / healthy eating,Access to health care,Houselessness and poverty alleviation,"Combating racism, prejudice, and related trauma",Access to timely and appropriate mental health services,"Increase visibility of HAAP as a resource for children and families (e.g. social media, letters to the editor, local news, etc)",Health literacy,Language access for patients / families with limited English proficiency,"Vaccines (recent issues have included pharmacy vaccination, anti-vaxxers, school exemptions, etc.)",Expanding school-based health and/or behavioral services,Climate justice and mitigation,"What other topics would you like us to focus on, if any?","Other comments, suggestions:"
5/16/2021 9:51:06,4,4,4,9,7,5,10,9,5,10,10,7,6,6,9,4,5,10,,
5/16/2021 18:14:58,9,8,8,7,9,10,8,9,10,9,10,7,9,9,10,10,9,9,NOn-heterosexual youth,
5/16/2021 20:44:06,9,10,8,1,7,8,3,8,3,4,7,10,10,5,6,10,NA,1,Physician well being ,
5/16/2021 21:49:23,7,10,6,7,7,10,5,7,6,6,7,7,7,7,7,10,7,7,,
5/17/2021 5:02:10,5,7,5,4,5,10,7,9,5,5,8,10,9,8,7,10,8,5,Higher PMPM for infants ,I hate HMSAâ€™s PMPM system
5/18/2021 8:59:50,3,10,8,8,7,7,7,8,8,6,5,8,5,6,6,10,5,6,,
5/23/2021 13:51:08,8,7,9,8,6,8,7,8,7,7,1,10,5,5,8,7,7,1,"shortages on the outer islands and in Oahu rural areas. Can we get our congressional reps to get something into law where private docs can hire new docs and if they stay for a period of time, in a shortage area, give them the ability to write off their student loans? ",
5/23/2021 15:38:04,7,10,9,7,6,7,7,8,7,8,6,10,8,7,8,9,6,6,,
5/23/2021 17:06:49,8,10,8,8,3,8,8,8,8,7,4,10,10,10,9,10,9,3,children back in achool without masks,open up everywhere
5/23/2021 17:36:18,10,10,10,8,7,8,6,8,8,8,7,10,10,7,8,10,5,1,,"improved resources to prevent childhood obesity (nutrition, physical activity, obesity clinic, etc)"
5/23/2021 18:23:44,2,10,7,5,1,1,2,5,2,4,2,10,1,3,2,5,10,1,Helping primary care to save the medical home....  but it seems the new normal is we all work for HPH and employees...  maybe this is why support is limited.  ,
5/23/2021 21:02:34,8,8,9,8,3,7,7,5,10,4,10,6,5,7,4,7,5,8,,
5/24/2021 8:52:17,7,4,9,4,6,9,4,5,9,4,4,10,4,3,3,10,7,8,,
5/24/2021 10:01:29,5,7,10,8,10,7,9,7,8,7,9,10,6,6,6,8,10,9,,
5/24/2021 14:43:46,1,1,10,1,1,10,10,1,10,1,1,1,5,10,1,10,10,1,,
5/26/2021 7:54:28,NA,10,NA,NA,NA,NA,NA,10,10,NA,10,10,NA,10,10,NA,NA,NA,,